UnixTimeStamp,NNIntervals,SDNN_5min,HeartRate,RMSSD_5min
1551453021012,998,47.59128119472048,57,34.965288910166734
1551453022009,962,48.24164939288887,59,35.02957933763163
1551453022010,880,49.81152736818732,59,35.3076967806921
1551453023007,918,50.88827385102794,60,35.37717461847067
1551453024005,946,51.619066272325995,61,35.39226044835408
1551453025002,909,52.6618296361703,62,35.39809066454059
1551453025998,958,53.197287592154254,62,35.50372071202064
1551453026997,998,53.46117034429155,62,35.55940988269735
1551453028990,1016,53.68457629628607,62,35.55037526517353
1551453028991,1016,53.7685597323198,62,35.48728670567104
1551453030987,1056,53.77790681968352,61,35.38275712517835
1551453031982,1067,53.704646482260806,61,35.38476862343186
1551453032981,1017,53.75030256068644,61,35.46513500202337
1551453033979,1045,53.77916411793037,60,35.35800633660847
1551453034977,1075,53.539549680827015,60,35.374307583480366
1551453035974,1063,53.46491424625352,60,35.318761212944906
1551453036972,1055,53.0936259149677,60,35.19625826341034
1551453037969,1090,52.97004083605629,59,35.23573097849188
1551453038968,1130,52.80651219068184,59,35.29606290703807
1551453040960,1105,52.72085502009258,58,35.19457860224105
1551453041959,1133,52.69955944452188,58,35.171666143229274
1551453042957,1129,52.15547559641917,57,35.183251838970385
1551453043954,1087,52.06294179671545,57,35.209756465426025
1551453044951,1118,51.93108516288704,57,35.203310208635074
1551453045949,1117,51.60026112675933,57,34.94128814198579
1551453046945,1064,51.582793182803776,57,35.010484751759606
1551453047944,1063,51.433625072866754,57,34.95534131609678
1551453048942,1064,51.40235978322264,57,34.86580148906916
1551453049940,1029,51.29367797688095,57,34.87271688553565
1551453050937,1071,51.225182986271925,57,34.96102186214514
1551453051933,1045,51.218168450170296,58,34.982315694469364
1551453052932,1077,51.129335667589004,57,34.97222522377542
1551453053929,1051,51.0501630356969,58,35.00590560979443
1551453054927,1089,50.945095223367396,57,35.00969073313391
1551453055924,1129,51.004740358553406,57,35.080472858439805
1551453057918,1154,51.13174115225943,57,35.035493654333415
1551453058917,1094,51.134468606392815,57,35.11960314158882
1551453059915,1033,51.1377031343166,57,35.241819130158945
1551453060912,1050,50.919215762269666,57,35.13540171822018
1551453061909,1005,51.08046636491132,58,35.23422135665735
1551453062907,1025,51.16380171977615,58,35.18910413246393
1551453063904,1064,51.084687523346815,58,35.20329650481121
1551453064902,1078,50.9342118149537,58,35.08747272246136
1551453065899,1134,50.938231561793984,57,35.18292239381223
1551453066897,1101,51.0229253528376,57,35.29236796743903
1551453067895,1131,51.078858819913926,57,35.32614323358435
1551453068891,1149,51.16992982222323,56,35.287862156097006
1551453069889,1121,51.21858637064668,56,35.323042259800225
1551453070887,1143,51.33344249821903,56,35.34679277837403
1551453072882,1143,51.4808111264968,56,35.38336147829296
1551453073879,1072,51.393472407705,56,35.57205398532649
1551453074877,1096,51.291265095991065,56,35.66366726965368
1551453075874,1094,51.20549810209001,56,35.600800006892285
1551453076872,1068,51.107516459813354,56,35.63115919108377
1551453078867,1061,51.061924673547786,56,35.584780394779465
1551453078868,1061,50.98608534512612,56,35.521854120264365
1551453079865,1054,51.01150097743973,57,35.51155687065961
1551453080860,1040,51.056570134551194,57,35.51727793345262
1551453081859,1078,51.052731820808496,57,35.588837730737076
1551453082857,1059,51.066589698033,57,35.496976430240444
1551453083853,1081,50.957223900985994,57,35.51608404861676
1551453084852,1066,50.88992437141406,57,35.52548480557835
1551453085849,1082,50.80032886118212,57,35.475591688283416
1551453086846,1092,50.701784780649135,57,35.40851946754329
1551453087845,1073,50.70354376688165,57,35.3953441668898
1551453089840,1112,50.715605215284164,57,35.45125554101898
1551453089841,1112,50.66135332315675,57,35.3887863197242
1551453090837,1100,50.602097054771356,56,34.81095828760547
1551453092832,1126,50.38907941352705,56,34.83449003664435
1551453093828,1116,50.340788564356444,56,34.790793225884045
1551453094825,1077,50.3271040205396,56,34.79851140149126
1551453095823,1112,50.24445096163529,56,34.652438867049874
1551453096821,1094,50.24844610074765,56,34.59135495258649
1551453097819,1098,50.18516887027875,56,34.539832078341085
1551453098817,1130,50.26150200288807,56,34.5919678579101
1551453100812,1075,50.302852196244935,56,34.77215605738926
1551453100813,1075,50.21532394370974,56,34.710666785479354
1551453101807,1093,50.198698777764555,56,34.69783753101368
1551453102807,1014,50.35730035653943,57,34.962473572444594
1551453103805,1046,50.36181969107084,57,34.9656570529552
